pdd_id,pdd_data,pdd_valor,pdd_cli_id
1,2022-01-12,23.41,3
2,2022-07-26,270.65,13
3,2022-09-13,169.06,9
4,2022-10-09,283.41,9
5,2022-11-15,205.80,11
6,2022-11-24,275.69,7
7,2022-12-02,279.18,6
8,2022-12-04,160.92,11
9,2022-12-12,236.54,9
10,2022-12-16,149.18,2
11,2023-02-03,287.82,14
12,2023-03-17,239.02,9
13,2023-03-18,289.82,13
14,2023-04-18,292.89,8
15,2023-05-09,209.44,3
16,2023-05-10,268.04,7
17,2023-05-12,88.29,13
18,2023-05-26,64.10,4
19,2023-05-28,74.15,6
20,2023-06-06,171.31,11
21,2023-07-26,186.12,1
22,2023-09-14,133.07,5
23,2023-10-07,89.31,8
24,2023-10-16,14.79,6
25,2023-11-01,146.35,11
26,2023-11-02,282.91,6
